Opportunity No.,Reporting Status,Product,Industry,Region,Segment,Relative Strength in the segment,Sales Value - $Mn,Profit %,Joint Bid - WSES Portion
Training1389,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,9.4,53,64
Training1390,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,5.4,53,71
Training1391,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,9.8,45,57
Training1392,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,7.9,45,52
Training1393,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,9.4,44,72
Training1394,Lost,Procsys,Energy,UK,"Procsys,Energy,UK",34,7.2,61,47
Training1395,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,8.4,45,64
Training1396,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,9.6,42,50
Training1397,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8.3,39,66
Training1398,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,9.4,53,63
Training1399,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,7.7,46,69
Training1400,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,8.2,61,61
Training1401,Won,GTMSys,Defense,Africa,"GTMSys,Defense,Africa",25,4.3,38,71
Training1402,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8,56,100
Training1403,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,9.7,52,52
Training1404,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,8.4,47,54
Training1405,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,6.8,36,51
Training1406,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,9.4,46,69
Training1407,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,12,69,60
Training1408,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,9.4,58,55
Training1409,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,7.4,54,100
Training1410,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,9.4,59,60
Training1411,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,9.4,37,64
Training1412,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,5.9,62,56
Training1413,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,10,55,70
Training1414,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7,62,63
Training1415,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,5.1,47,56
Training1416,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,6.6,66,41
Training1417,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8,46,43
Training1418,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,10,41,53
Training1419,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,8,38,69
Training1420,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.2,59,56
Training1421,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,10.3,50,75
Training1422,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,10.9,44,73
Training1423,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,10.1,40,62
Training1424,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,6.6,52,63
Training1425,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,8.6,43,57
Training1426,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,8.6,53,50
Training1427,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.1,35,51
Training1428,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.8,33,39
Training1429,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8,65,69
Training1430,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,5.8,27,62
Training1431,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,5.7,38,47
Training1432,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,10,48,67
Training1433,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,7.4,44,100
Training1434,Won,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,7.3,23,67
Training1435,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,9.4,52,69
Training1436,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,10.9,46,62
Training1437,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,7.2,21,61
Training1438,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,7.6,53,55
Training1439,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,6.8,58,63
Training1440,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,6.4,63,77
Training1441,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68,6.7,49,69
Training1442,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.4,56,100
Training1443,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,5.6,62,79
Training1444,Lost,GTMSys,Agriculture,Other Europe,"GTMSys,Agriculture,Other Europe",26,7.5,54,67
Training1445,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,8.7,54,68
Training1446,Lost,Procsys,Security,India,"Procsys,Security,India",44,10.1,68,51
Training1447,Lost,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71,7.8,46,44
Training1448,Lost,Procsys,Capital Markets,UK,"Procsys,Capital Markets,UK",71,7.7,42,69
Training1449,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,6.8,61,59
Training1450,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,9.7,43,61
Training1451,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,8,45,50
Training1452,Lost,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,7.9,60,53
Training1453,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,7.6,50,49
Training1454,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,9.3,50,70
Training1455,Won,Procsys,Security,India,"Procsys,Security,India",44,5.7,51,61
Training1456,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,8.3,32,40
Training1457,Won,Procsys,Security,India,"Procsys,Security,India",44,11,60,73
Training1458,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,9.5,38,45
Training1459,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.8,66,72
Training1460,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8.7,47,62
Training1461,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,9.1,36,50
Training1462,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,8.3,61,56
Training1463,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,6.7,68,71
Training1464,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,7.5,40,56
Training1465,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,10.3,39,51
Training1466,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,3.4,55,50
Training1467,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.3,48,67
Training1468,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,10.7,42,100
Training1469,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,10.1,31,57
Training1470,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,4.9,51,75
Training1471,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,11,67,43
Training1472,Lost,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69,7.6,46,68
Training1473,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,9.8,48,54
Training1474,Won,GTMSys,Finance,UK,"GTMSys,Finance,UK",55,7.5,46,68
Training1475,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,9.8,55,41
Training1476,Won,Lifesys,Capital Markets,UK,"Lifesys,Capital Markets,UK",27,6.7,44,59
Training1477,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,9.8,59,51
Training1478,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,8.5,44,62
Training1479,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,4.3,40,78
Training1480,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,8.5,45,49
Training1481,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,9,60,54
Training1482,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,10.5,58,64
Training1483,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,7.4,40,59
Training1484,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,5.8,55,71
Training1485,Won,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,8.5,48,62
Training1486,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,10.3,58,73
Training1487,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,9.4,46,60
Training1488,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,8.1,62,51
Training1489,Won,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,4.6,49,56
Training1490,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,11.1,36,55
Training1491,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,8.3,46,64
Training1492,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,4.6,58,56
Training1493,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8,39,71
Training1494,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,7.5,52,54
Training1495,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,8.4,39,48
Training1496,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,8.5,45,67
Training1497,Won,Procsys,Security,India,"Procsys,Security,India",44,11.1,52,62
Training1498,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,10.6,49,66
Training1499,Won,Procsys,Other Govt.,Japan,"Procsys,Other Govt.,Japan",33,6.2,46,40
Training1500,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,6,35,71
Training1501,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,5.5,50,59
Training1502,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,7.5,38,57
Training1503,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,9.5,45,59
Training1504,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,6.5,43,68
Training1505,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,7.4,55,60
Training1506,Won,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,11.1,43,42
Training1507,Won,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69,1.6,43,49
Training1508,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,5.8,57,67
Training1509,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,6,46,60
Training1510,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,7.9,45,50
Training1511,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,11,61,58
Training1512,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,9.5,45,78
Training1513,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,7.8,60,48
Training1514,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,8,55,75
Training1515,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,5.9,44,75
Training1516,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,5.5,46,60
Training1517,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,5.7,58,41
Training1518,Won,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,9.6,45,54
Training1519,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,5.5,53,63
Training1520,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,8.7,35,48
Training1521,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,6.2,47,58
Training1522,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,8.9,50,57
Training1523,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,5.7,27,100
Training1524,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,9.6,69,75
Training1525,Won,Procsys,Security,India,"Procsys,Security,India",44,6.5,49,62
Training1526,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,7.5,51,65
Training1527,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,10,40,57
Training1528,Lost,Procsys,Security,Americas,"Procsys,Security,Americas",68,9,49,55
Training1529,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7.2,54,61
Training1530,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30,6.4,53,44
Training1531,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,7.7,59,61
Training1532,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,6.2,47,50
Training1533,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,7,47,54
Training1534,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,10.2,57,56
Training1535,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,6.1,57,59
Training1536,Lost,GTMSys,Others,Other Europe,"GTMSys,Others,Other Europe",69,9.4,50,56
Training1537,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,8.5,30,74
Training1538,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,5.1,61,56
Training1539,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,7.2,69,67
Training1540,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,10,43,66
Training1541,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,10.7,36,47
Training1542,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,7.3,58,75
Training1543,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,3.8,49,70
Training1544,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,7.9,47,52
Training1545,Won,GTMSys,Defense,Africa,"GTMSys,Defense,Africa",25,7.9,69,72
Training1546,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,9.2,34,48
Training1547,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,12.3,46,54
Training1548,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,10.6,36,63
Training1549,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,10.5,53,68
Training1550,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,6,32,73
Training1551,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,9,57,53
Training1552,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,13,62,100
Training1553,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,9.3,46,73
Training1554,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,7,36,62
Training1555,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,6.2,49,43
Training1556,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,8.1,66,54
Training1557,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,12.5,39,50
Training1558,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,7.6,55,53
Training1559,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,5.5,45,51
Training1560,Won,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,8,45,63
Training1561,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,3.4,56,66
Training1562,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,3.9,57,42
Training1563,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,7.1,68,46
Training1564,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,7.1,78,71
Training1565,Lost,Finsys,Capital Markets,UK,"Finsys,Capital Markets,UK",60,8.5,66,78
Training1566,Lost,GTMSys,Other Govt.,Other Europe,"GTMSys,Other Govt.,Other Europe",72,10.9,52,62
Training1567,Lost,Procsys,Security,UK,"Procsys,Security,UK",76,10.9,50,61
Training1568,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,11.2,45,56
Training1569,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,7.1,40,100
Training1570,Lost,Procsys,Security,India,"Procsys,Security,India",44,10.8,56,62
Training1571,Lost,Procsys,Energy,UK,"Procsys,Energy,UK",34,13.3,62,69
Training1572,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,9.3,61,53
Training1573,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,8.6,53,67
Training1574,Won,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,8.8,52,61
Training1575,Won,GTMSys,Security,UK,"GTMSys,Security,UK",32,9.3,34,70
Training1576,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,6.9,51,49
Training1577,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,8.9,58,40
Training1578,Won,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,7,48,29
Training1579,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,8.4,45,100
Training1580,Won,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8.1,31,73
Training1581,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,9.4,44,58
Training1582,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30,6.4,54,54
Training1583,Won,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,4.6,66,70
Training1584,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,10.3,40,55
Training1585,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,7.4,60,100
Training1586,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.5,47,65
Training1587,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,9.3,55,55
Training1588,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,11,58,62
Training1589,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,8.3,57,49
Training1590,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,7.1,62,63
Training1591,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,8.3,43,49
Training1592,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,4.7,50,64
Training1593,Lost,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,10,64,35
Training1594,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,9.7,38,77
Training1595,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,9.1,35,46
Training1596,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,7.3,34,61
Training1597,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,7.6,51,61
Training1598,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,8.5,39,40
Training1599,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,9,73,48
Training1600,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,5.8,44,49
Training1601,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,6.3,53,57
Training1602,Lost,GTMSys,Others,UK,"GTMSys,Others,UK",49,6.3,58,69
Training1603,Won,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,10.9,52,55
Training1604,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,10,45,62
Training1605,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,11.1,24,35
Training1606,Lost,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,8.3,55,46
Training1607,Lost,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,11.1,52,57
Training1608,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,10.5,43,47
Training1609,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,6.1,69,67
Training1610,Won,LearnSys,Capital Markets,UK,"LearnSys,Capital Markets,UK",40,7.4,43,57
Training1611,Won,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,11.3,35,70
Training1612,Won,LearnSys,Energy,UK,"LearnSys,Energy,UK",42,9.9,37,67
Training1613,Won,GTMSys,Others,UK,"GTMSys,Others,UK",49,2.4,58,67
Training1614,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,8.6,43,59
Training1615,Won,Procsys,Security,India,"Procsys,Security,India",44,14.2,54,55
Training1616,Won,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,10.4,38,59
Training1617,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,5.9,42,57
Training1618,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,7,50,66
Training1619,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,7.7,52,68
Training1620,Won,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,5.4,56,62
Training1621,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,7.3,49,57
Training1622,Lost,GTMSys,Health,UK,"GTMSys,Health,UK",67,7.6,55,67
Training1623,Lost,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,9.3,50,56
Training1624,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,7.3,61,70
Training1625,Lost,GTMSys,Insurance,UK,"GTMSys,Insurance,UK",58,7.7,64,69
Training1626,Lost,GTMSys,Airline,UK,"GTMSys,Airline,UK",56,6,68,63
Training1627,Won,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,11.1,46,60
Training1628,Lost,Procsys,Security,India,"Procsys,Security,India",44,5.3,52,50
Training1629,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,9.4,67,56
Training1630,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.9,42,56
Training1631,Lost,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,8.1,55,52
Training1632,Lost,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,10.6,49,68
Training1633,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,8.6,46,58
Training1634,Lost,Finsys,Infrastructure,UK,"Finsys,Infrastructure,UK",62,8,37,70
Training1635,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,7.8,62,56
Training1636,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,8.2,62,54
Training1637,Lost,GTMSys,Others,Americas,"GTMSys,Others,Americas",38,7.7,50,61
Training1638,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,10.6,57,67
Training1639,Won,GTMSys,Defense,Africa,"GTMSys,Defense,Africa",25,7.3,54,45
Training1640,Lost,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,10.2,57,44
Training1641,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,8.3,52,54
Training1642,Lost,GTMSys,Banks,Singapore,"GTMSys,Banks,Singapore",65,5.4,64,62
Training1643,Won,Procsys,Security,India,"Procsys,Security,India",44,6.8,54,55
Training1644,Won,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,5.2,46,100
Training1645,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,6.9,37,72
Training1646,Lost,Finsys,Consumer goods,UK,"Finsys,Consumer goods,UK",54,8.6,61,67
Training1647,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,8.3,49,55
Training1648,Lost,LearnSys,Defense,UK,"LearnSys,Defense,UK",51,8,50,66
Training1649,Won,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,11,57,63
Training1650,Won,GTMSys,Defense,Other Europe,"GTMSys,Defense,Other Europe",30,7.3,44,67
Training1651,Lost,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,10.1,59,66
Training1652,Lost,GTMSys,Capital Markets,Other Europe,"GTMSys,Capital Markets,Other Europe",41,5.6,52,56
Training1653,Lost,GTMSys,Banks,UK,"GTMSys,Banks,UK",61,10.2,54,37
Training1654,Lost,ContactSys,Banks,UK,"ContactSys,Banks,UK",59,10.2,45,70
Training1655,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,11,45,49
Training1656,Won,Procsys,Security,India,"Procsys,Security,India",44,7.2,72,57
Training1657,Won,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,5.8,62,50
Training1658,Won,Procsys,Infrastructure,UK,"Procsys,Infrastructure,UK",37,9.5,54,44
Training1659,Lost,GTMSys,Capital Markets,UK,"GTMSys,Capital Markets,UK",48,7.2,47,64
Training1660,Won,GTMSys,Defense,Americas,"GTMSys,Defense,Americas",50,9.3,42,63
Training1661,Won,GTMSys,Others,Africa,"GTMSys,Others,Africa",39,10.5,63,67
Training1662,Won,GTMSys,Telecom equipments,Spain,"GTMSys,Telecom equipments,Spain",66,7.8,55,65
Training1663,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,8.2,48,100
Training1664,Lost,GTMSys,Defense,Japan,"GTMSys,Defense,Japan",63,10.4,48,58
Training1665,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,5.8,45,62
Training1666,Lost,GTMSys,Banks,Africa,"GTMSys,Banks,Africa",52,5.7,53,56
Training1667,Won,Logissys,Govt.,UK,"Logissys,Govt.,UK",36,8.5,61,76
Training1668,Lost,GTMSys,Banks,Americas,"GTMSys,Banks,Americas",43,6.4,65,43
Training1669,Lost,Lifesys,Others,Other Europe,"Lifesys,Others,Other Europe",64,7.7,29,45
Training1670,Won,Procsys,Defense,Americas,"Procsys,Defense,Americas",22,4.6,49,100
Training1671,Lost,Procsys,Consumer goods,UK,"Procsys,Consumer goods,UK",53,6.7,41,40
Training1672,Won,LearnSys,Banks,Africa,"LearnSys,Banks,Africa",45,9.7,27,53
Training1673,Lost,Finsys,Capital Markets,Other Europe,"Finsys,Capital Markets,Other Europe",57,6.3,61,55
Training1674,Won,Logissys,Mobility,UK,"Logissys,Mobility,UK",35,7.7,31,58
Training1675,Won,Lifesys,Consumer goods,UK,"Lifesys,Consumer goods,UK",46,11.6,43,45
Training1676,Won,Lifesys,Capital Markets,Other Europe,"Lifesys,Capital Markets,Other Europe",47,10.3,44,69
